Channel,Low32,High32,Legacy24_16,LegacyType,VHDL29_11,VHDLType
RIGHT,0x80000000,0xA0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
RIGHT,0x80B74A54,0xA001F349,0xF349B74A54,DATA,0x6920B74A54,TRAILER
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
RIGHT,0x8001E4A2,0xA0022F2E,0x2F2E01E4A2,TRAILER,0xE5C001E4A2,DATA
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
RIGHT,0x802F2F2F,0xA0022F2F,0x2F2F2F2F2F,TRAILER,0xE5E02F2F2F,DATA
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
RIGHT,0x802F2F2F,0xA0022F2F,0x2F2F2F2F2F,TRAILER,0xE5E02F2F2F,DATA
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
RIGHT,0x802F2F2F,0xA0022F2F,0x2F2F2F2F2F,TRAILER,0xE5E02F2F2F,DATA
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
RIGHT,0x802F2F2F,0xA0022F2F,0x2F2F2F2F2F,TRAILER,0xE5E02F2F2F,DATA
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
RIGHT,0x802F2F2F,0xA0022F2F,0x2F2F2F2F2F,TRAILER,0xE5E02F2F2F,DATA
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
RIGHT,0x802F2F2F,0xA0022F2F,0x2F2F2F2F2F,TRAILER,0xE5E02F2F2F,DATA
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
RIGHT,0x802F2F2F,0xA0022F2F,0x2F2F2F2F2F,TRAILER,0xE5E02F2F2F,DATA
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
RIGHT,0x802F2F2F,0xA0022F2F,0x2F2F2F2F2F,TRAILER,0xE5E02F2F2F,DATA
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
RIGHT,0x802F2F2F,0xA0022F2F,0x2F2F2F2F2F,TRAILER,0xE5E02F2F2F,DATA
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
RIGHT,0x802F2F2F,0xA0022F2F,0x2F2F2F2F2F,TRAILER,0xE5E02F2F2F,DATA
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
RIGHT,0x802F2F2F,0xA0022F2F,0x2F2F2F2F2F,TRAILER,0xE5E02F2F2F,DATA
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
RIGHT,0x802F2F2F,0xA0022F2F,0x2F2F2F2F2F,TRAILER,0xE5E02F2F2F,DATA
LEFT,0xC0000000,0xE0020000,0x0000000000,TRAILER,0x0000000000,TRAILER
