example,word_position,role,word_hex_40bit,l1_counter,type,bcid,chip_id,status,hits,crc_field,event_crc_check
1,0,Header,0x3C5C02410A,9,0,266,,,,,PASS
1,1,Trailer,0x7FFF800046,,,,131070,0,0,0x46,PASS
1,2,Next Header,0x3C5C028170,10,0,368,,,,,PASS
2,2,Header,0x3C5C028170,10,0,368,,,,,PASS
2,3,Trailer,0x7FFF8000DE,,,,131070,0,0,0xDE,PASS
2,4,Next Header,0x3C5C02C1D6,11,0,470,,,,,PASS
3,4,Header,0x3C5C02C1D6,11,0,470,,,,,PASS
3,5,Trailer,0x7FFF8000CB,,,,131070,0,0,0xCB,PASS
3,6,Next Header,0x3C5C03023C,12,0,572,,,,,PASS
4,6,Header,0x3C5C03023C,12,0,572,,,,,PASS
4,7,Trailer,0x7FFF8000A8,,,,131070,0,0,0xA8,PASS
4,8,Next Header,0x3C5C0342A2,13,0,674,,,,,PASS
5,8,Header,0x3C5C0342A2,13,0,674,,,,,PASS
5,9,Trailer,0x7FFF800002,,,,131070,0,0,0x02,PASS
5,10,Next Header,0x3C5C038308,14,0,776,,,,,PASS
6,10,Header,0x3C5C038308,14,0,776,,,,,PASS
6,11,Trailer,0x7FFF800028,,,,131070,0,0,0x28,PASS
6,12,Next Header,0x3C5C03C36E,15,0,878,,,,,PASS
7,12,Header,0x3C5C03C36E,15,0,878,,,,,PASS
7,13,Trailer,0x7FFF800002,,,,131070,0,0,0x02,PASS
7,14,Next Header,0x3C5C0403D4,16,0,980,,,,,PASS
8,14,Header,0x3C5C0403D4,16,0,980,,,,,PASS
8,15,Trailer,0x7FFF800037,,,,131070,0,0,0x37,PASS
8,16,Next Header,0x3C5C04443A,17,0,1082,,,,,PASS
9,16,Header,0x3C5C04443A,17,0,1082,,,,,PASS
9,17,Trailer,0x7FFF80004F,,,,131070,0,0,0x4F,PASS
9,18,Next Header,0x3C5C0484A0,18,0,1184,,,,,PASS
10,18,Header,0x3C5C0484A0,18,0,1184,,,,,PASS
10,19,Trailer,0x7FFF800075,,,,131070,0,0,0x75,PASS
10,20,Next Header,0x3C5C04C506,19,0,1286,,,,,PASS
11,20,Header,0x3C5C04C506,19,0,1286,,,,,PASS
11,21,Trailer,0x7FFF800034,,,,131070,0,0,0x34,PASS
11,22,Next Header,0x3C5C05056C,20,0,1388,,,,,PASS
12,22,Header,0x3C5C05056C,20,0,1388,,,,,PASS
12,23,Trailer,0x7FFF800081,,,,131070,0,0,0x81,PASS
12,24,Next Header,0x3C5C0545D2,21,0,1490,,,,,PASS
13,24,Header,0x3C5C0545D2,21,0,1490,,,,,PASS
13,25,Trailer,0x7FFF8000B6,,,,131070,0,0,0xB6,PASS
13,26,Next Header,0x3C5C058638,22,0,1592,,,,,PASS
14,26,Header,0x3C5C058638,22,0,1592,,,,,PASS
14,27,Trailer,0x7FFF800021,,,,131070,0,0,0x21,PASS
14,28,Next Header,0x3C5C05C69E,23,0,1694,,,,,PASS
15,28,Header,0x3C5C05C69E,23,0,1694,,,,,PASS
