Metric,Value
reconstructed,1349378339
duplicate_consecutive,33
raw_headers,601402025
raw_data,146578505
raw_trailers,601397809
raw_fillers,0
raw_unknown,0
accepted_headers,601402025
accepted_data,146578505
accepted_trailers,601397775
accepted_fillers,0
accepted_unknown,1
fake_trailers,1
words_before_header,1
orphan_data,10217
boundary_cuts,23461
l1_jump_discarded,212112926
committed_data,93115133
ea_pass,93115133
intra_pass,93115133
bcid_pass,93112036
intra_bcid_pass,93112036
final_pass,93112036
