WordHex,EA,Col1,Row1,Col2,Row2,DataBCID
0xFFE0800078,3,15,15,0,4,0
0x8B80179379,0,5,12,0,0,3017
0xFFE080007C,3,15,15,0,4,0
0x8B80181397,0,5,12,0,0,3081
0xFFE080003F,3,15,15,0,4,0
0x8B8018139C,0,5,12,0,0,3081
0xFFE080001C,3,15,15,0,4,0
0x8B801853B9,0,5,12,0,0,3113
0xFFE08000FB,3,15,15,0,4,0
0x8B801893C9,0,5,12,0,0,3145
0xFFE08000ED,3,15,15,0,4,0
0x8B8019140D,0,5,12,0,0,3210
0xFFE0800035,3,15,15,0,4,0
0x8B8019140F,0,5,12,0,0,3210
0xFFE0800040,3,15,15,0,4,0
0x8B80195437,0,5,12,0,0,3242
0xFFE08000C2,3,15,15,0,4,0
0x8B80199446,0,5,12,0,0,3274
0xFFE0800079,3,15,15,0,4,0
0x8B8019D45C,0,5,12,0,0,3306
0xFFE0800105,3,15,15,0,4,0
0x8B801A5474,0,5,12,0,0,3370
0xFFE080003C,3,15,15,0,4,0
0x8B801A5476,0,5,12,0,0,3370
0xF8E0C8ED12,3,12,7,0,6,1142
0xFFE08001B4,3,15,15,0,4,0
0x8B801AD49E,0,5,12,0,0,3434
0xFFE080006A,3,15,15,0,4,0
0x8B801AD4A0,0,5,12,0,0,3434
0xFFE080004A,3,15,15,0,4,0
0x8B801B14D9,0,5,12,0,0,3466
0xFFE08000FE,3,15,15,0,4,0
0x8B801B55C2,0,5,12,0,0,3498
0xFFE080006D,3,15,15,0,4,0
0x8B801B95FE,0,5,12,0,0,3530
0xFFE080007F,3,15,15,0,4,0
0x8B801C162C,0,5,12,0,0,3595
0xFFE08000F8,3,15,15,0,4,0
0x8B801C162E,0,5,12,0,0,3595
0xFFE080008D,3,15,15,0,4,0
0x8B801C9667,0,5,12,0,0,3659
0xFFE08000B4,3,15,15,0,4,0
0x8B801C9668,0,5,12,0,0,3659
0xFFE080007D,3,15,15,0,4,0
0x8B801CD66F,0,5,12,0,0,3691
0xFFE0800072,3,15,15,0,4,0
0x8B801D5680,0,5,12,0,0,3755
0xFFE0800097,3,15,15,0,4,0
0x8B801D5689,0,5,12,0,0,3755
0xFFE08000C1,3,15,15,0,4,0
0x8B801D96D8,0,5,12,0,0,3787
0xFFE08000E7,3,15,15,0,4,0
0x8B801DD6EA,0,5,12,0,0,3819
0xFFE08000EB,3,15,15,0,4,0
0x8B801E175A,0,5,12,0,0,3851
