Category,Metric,Value
FRAME,Total_Frames,24077765
FRAME,Raw_Hit_Frames,0
FRAME,Headers,0
FRAME,Trailers,0
FRAME,Fillers,0
FRAME,Fake_Trailers_Blocked,1
FRAME,Unknown_Frames,1
EXCLUDE,WP_Boundary_Cuts,0
EXCLUDE,Words_Dropped_At_Start,1
EXCLUDE,Events_Missing_Header,0
EXCLUDE,Orphan_Data_Words,0
EVENT,Total_Complete_Events,0
EVENT,Events_Perfect_Hits,0
EVENT,Events_Corrupted_BCID,0
EVENT,Events_Hit_Mismatch,0
EVENT,Events_Discarded_By_Jump,0
EVENT,L1_Counter_Jumps,0
EVENT,L1_Jump_Avg,0
EVENT,L1_Jump_Std,0
EVENT,Header_Type_Regular,0
EVENT,Header_Type_Random,0
EVENT,Header_Type_Counter,0
EVENT,Header_Type_Reserved,0
EVENT,Buffer_Normal,0
EVENT,Buffer_HalfFull,0
EVENT,Buffer_Overflow,0
EVENT,Buffer_Full,0
EVENT,CRC_Match,0
EVENT,CRC_Mismatch,0
EVENT,CRC_Err_MissingData,0
EVENT,CRC_Err_EA_Fatal,0
EVENT,CRC_Err_MissingData_With_EA,0
EVENT,CRC_Err_SilentFlip,0
EVENT,Events_With_Missing_Hits,0
EVENT,Events_Missing_Hits_And_CRC_Err,0
EVENT,Events_Missing_Hits_But_CRC_OK,0
EVENT,Events_With_EA_Errors,0
EVENT,Events_With_EA_and_CRC_Err,0
HIT,Expected_Total_Hits,0
HIT,Valid_Hits,0
HIT,Lost_Hits,0
HIT,BCID_Match,0
HIT,BCID_Drop,0
HIT,Intra_Match,0
HIT,Intra_Drop,0
HIT,BCID_Mismatch_Only,0
HIT,Counter_A_Jumps,0
HIT,Counter_A_Lost_Avg,0
HIT,Counter_A_Lost_Std,0
HIT,EA_00_Clean,0
HIT,EA_01_Corrected,0
HIT,EA_10_Uncorrectable,0
HIT,EA_11_Undefined,0
SYSTEM,Link_Bandwidth_Mbps,623.576
SYSTEM,Effective_Bandwidth_Mbps,286.376
SYSTEM,Total_HW_Drops,0
SYSTEM,Salvaged_Words,0
SYSTEM,Injected_Words,0
SYSTEM,Fail_Address_Drift,0
SYSTEM,Fail_Word_Order_Slips,23
SYSTEM,RAM_Buffer_Empty_Words,113404048
SYSTEM,RAM_Buffer_Empty_Ratio,54.0753
