Category,Metric,Value
FRAME,Total_Frames,24077785
FRAME,Raw_Hit_Frames,2631443
FRAME,Headers,10710769
FRAME,Trailers,10710666
FRAME,Fillers,2
FRAME,Fake_Trailers_Blocked,24898
FRAME,Unknown_Frames,24899
EXCLUDE,WP_Boundary_Cuts,458
EXCLUDE,Words_Dropped_At_Start,6
EXCLUDE,Events_Missing_Header,348
EXCLUDE,Orphan_Data_Words,24857
EVENT,Total_Complete_Events,10710311
EVENT,Events_Perfect_Hits,6937170
EVENT,Events_Corrupted_BCID,43
EVENT,Events_Hit_Mismatch,30
EVENT,Events_Discarded_By_Jump,3773068
EVENT,L1_Counter_Jumps,3773078
EVENT,L1_Jump_Avg,1.00158
EVENT,L1_Jump_Std,1.19051
EVENT,Header_Type_Regular,7998
EVENT,Header_Type_Random,6929245
EVENT,Header_Type_Counter,0
EVENT,Header_Type_Reserved,0
EVENT,Buffer_Normal,6937243
EVENT,Buffer_HalfFull,0
EVENT,Buffer_Overflow,0
EVENT,Buffer_Full,0
EVENT,CRC_Match,6936985
EVENT,CRC_Mismatch,215
EVENT,CRC_Err_MissingData,30
EVENT,CRC_Err_EA_Fatal,0
EVENT,CRC_Err_MissingData_With_EA,0
EVENT,CRC_Err_SilentFlip,185
EVENT,Events_With_Missing_Hits,30
EVENT,Events_Missing_Hits_And_CRC_Err,30
EVENT,Events_Missing_Hits_But_CRC_OK,0
EVENT,Events_With_EA_Errors,0
EVENT,Events_With_EA_and_CRC_Err,0
HIT,Expected_Total_Hits,1656266
HIT,Valid_Hits,1656301
HIT,Lost_Hits,62
HIT,BCID_Match,1656301
HIT,BCID_Drop,61
HIT,Intra_Match,1656362
HIT,Intra_Drop,0
HIT,BCID_Mismatch_Only,61
HIT,Counter_A_Jumps,1374070
HIT,Counter_A_Lost_Avg,6.16706
HIT,Counter_A_Lost_Std,6.01781
HIT,EA_00_Clean,1656362
HIT,EA_01_Corrected,0
HIT,EA_10_Uncorrectable,0
HIT,EA_11_Undefined,0
SYSTEM,Link_Bandwidth_Mbps,623.576
SYSTEM,Effective_Bandwidth_Mbps,286.376
SYSTEM,Total_HW_Drops,0
SYSTEM,Salvaged_Words,0
SYSTEM,Injected_Words,0
SYSTEM,Fail_Address_Drift,0
SYSTEM,Fail_Word_Order_Slips,23
SYSTEM,RAM_Buffer_Empty_Words,113404048
SYSTEM,RAM_Buffer_Empty_Ratio,54.0753
