Category,Metric,Value
FRAME,Total_Frames,47957299
FRAME,Raw_Hit_Frames,12572216
FRAME,Headers,12572473
FRAME,Trailers,12572643
FRAME,Fillers,4182136
FRAME,Fake_Trailers_Blocked,1
FRAME,Unknown_Frames,1
EXCLUDE,WP_Boundary_Cuts,536
EXCLUDE,Words_Dropped_At_Start,2
EXCLUDE,Events_Missing_Header,706
EXCLUDE,Orphan_Data_Words,568
EVENT,Total_Complete_Events,12571937
EVENT,Events_Perfect_Hits,12569377
EVENT,Events_Corrupted_BCID,47
EVENT,Events_Hit_Mismatch,253
EVENT,Events_Discarded_By_Jump,2260
EVENT,L1_Counter_Jumps,2260
EVENT,L1_Jump_Avg,1.50442
EVENT,L1_Jump_Std,3.02869
EVENT,Header_Type_Regular,0
EVENT,Header_Type_Random,12569677
EVENT,Header_Type_Counter,0
EVENT,Header_Type_Reserved,0
EVENT,Buffer_Normal,12569677
EVENT,Buffer_HalfFull,0
EVENT,Buffer_Overflow,0
EVENT,Buffer_Full,0
EVENT,CRC_Match,12569360
EVENT,CRC_Mismatch,270
EVENT,CRC_Err_MissingData,252
EVENT,CRC_Err_EA_Fatal,0
EVENT,CRC_Err_MissingData_With_EA,0
EVENT,CRC_Err_SilentFlip,18
EVENT,Events_With_Missing_Hits,253
EVENT,Events_Missing_Hits_And_CRC_Err,252
EVENT,Events_Missing_Hits_But_CRC_OK,1
EVENT,Events_With_EA_Errors,0
EVENT,Events_With_EA_and_CRC_Err,0
HIT,Expected_Total_Hits,12533041
HIT,Valid_Hits,12532804
HIT,Lost_Hits,329
HIT,BCID_Match,12532804
HIT,BCID_Drop,69
HIT,Intra_Match,12532873
HIT,Intra_Drop,0
HIT,BCID_Mismatch_Only,69
HIT,Counter_A_Jumps,12529380
HIT,Counter_A_Lost_Avg,498.349
HIT,Counter_A_Lost_Std,64.6476
HIT,EA_00_Clean,12532873
HIT,EA_01_Corrected,0
HIT,EA_10_Uncorrectable,0
HIT,EA_11_Undefined,0
SYSTEM,Link_Bandwidth_Mbps,627.228
SYSTEM,Effective_Bandwidth_Mbps,191.245
SYSTEM,Total_HW_Drops,0
SYSTEM,Salvaged_Words,0
SYSTEM,Injected_Words,0
SYSTEM,Fail_Address_Drift,0
SYSTEM,Fail_Word_Order_Slips,0
SYSTEM,RAM_Buffer_Empty_Words,437316401
SYSTEM,RAM_Buffer_Empty_Ratio,69.5096
