Category,Metric,Value
FRAME,Total_Frames,47957300
FRAME,Raw_Hit_Frames,12564779
FRAME,Headers,12572492
FRAME,Trailers,12572473
FRAME,Fillers,4189725
FRAME,Fake_Trailers_Blocked,1
FRAME,Unknown_Frames,1
EXCLUDE,WP_Boundary_Cuts,511
EXCLUDE,Words_Dropped_At_Start,1
EXCLUDE,Events_Missing_Header,492
EXCLUDE,Orphan_Data_Words,349
EVENT,Total_Complete_Events,12571981
EVENT,Events_Perfect_Hits,12567490
EVENT,Events_Corrupted_BCID,127
EVENT,Events_Hit_Mismatch,176
EVENT,Events_Discarded_By_Jump,4188
EVENT,L1_Counter_Jumps,4188
EVENT,L1_Jump_Avg,1.28773
EVENT,L1_Jump_Std,2.72806
EVENT,Header_Type_Regular,0
EVENT,Header_Type_Random,12567793
EVENT,Header_Type_Counter,0
EVENT,Header_Type_Reserved,0
EVENT,Buffer_Normal,12567793
EVENT,Buffer_HalfFull,0
EVENT,Buffer_Overflow,0
EVENT,Buffer_Full,0
EVENT,CRC_Match,12567434
EVENT,CRC_Mismatch,232
EVENT,CRC_Err_MissingData,173
EVENT,CRC_Err_EA_Fatal,0
EVENT,CRC_Err_MissingData_With_EA,0
EVENT,CRC_Err_SilentFlip,59
EVENT,Events_With_Missing_Hits,176
EVENT,Events_Missing_Hits_And_CRC_Err,173
EVENT,Events_Missing_Hits_But_CRC_OK,3
EVENT,Events_With_EA_Errors,0
EVENT,Events_With_EA_and_CRC_Err,0
HIT,Expected_Total_Hits,12468210
HIT,Valid_Hits,12468200
HIT,Lost_Hits,238
HIT,BCID_Match,12468200
HIT,BCID_Drop,163
HIT,Intra_Match,12468363
HIT,Intra_Drop,0
HIT,BCID_Mismatch_Only,163
HIT,Counter_A_Jumps,12464882
HIT,Counter_A_Lost_Avg,498.319
HIT,Counter_A_Lost_Std,64.7662
HIT,EA_00_Clean,12468363
HIT,EA_01_Corrected,0
HIT,EA_10_Uncorrectable,0
HIT,EA_11_Undefined,0
SYSTEM,Link_Bandwidth_Mbps,627.228
SYSTEM,Effective_Bandwidth_Mbps,191.245
SYSTEM,Total_HW_Drops,0
SYSTEM,Salvaged_Words,0
SYSTEM,Injected_Words,0
SYSTEM,Fail_Address_Drift,0
SYSTEM,Fail_Word_Order_Slips,0
SYSTEM,RAM_Buffer_Empty_Words,437316401
SYSTEM,RAM_Buffer_Empty_Ratio,69.5096
